id,college_id,course_name,specialization,normalized_category,min_percentage,jee_percentile,,,,,,,,,,
335,63,B.Tech,CSE (Cyber Security),CYBER_SECURITY,85,75,,,,,,,,,,
336,63,B.Tech,Data Science,DATA_SCIENCE,85,75,,,,,,,,,,
337,63,B.Tech,Robotics,ROBOTICS,85,75,,,,,,,,,,
338,64,B.Tech,CSE,OTHER,60,50,,,,,,,,,,
339,64,B.Tech,AI & DS,DATA_SCIENCE,60,50,,,,,,,,,,
340,64,B.Tech,IT,OTHER,60,50,,,,,,,,,,
341,64,B.Tech,ECE,ELECTRONICS,60,50,,,,,,,,,,
342,64,B.Tech,Core Engineering,OTHER,60,50,,,,,,,,,,
343,65,B.Tech,CSE,OTHER,50,0,,,,,,,,,,
344,65,B.Tech,CSE (AI & ML),CSE_AI_ML,50,0,,,,,,,,,,
345,65,B.Tech,Data Science,DATA_SCIENCE,50,0,,,,,,,,,,
346,65,B.Tech,Cyber Security,CYBER_SECURITY,50,0,,,,,,,,,,
347,65,B.Tech,Mechanical,MECHANICAL,50,0,,,,,,,,,,
348,65,B.Tech,ECE,ELECTRONICS,50,0,,,,,,,,,,
349,65,B.Tech,Quantum Computing,OTHER,50,0,,,,,,,,,,
350,66,B.Tech,AI & DS,DATA_SCIENCE,60,0,,,,,,,,,,
351,66,B.Tech,Food Technology,OTHER,60,0,,,,,,,,,,
352,66,B.Tech,Biotechnology,BIOTECH,60,0,,,,,,,,,,
353,66,B.Tech,Chemical,OTHER,60,0,,,,,,,,,,
354,67,B.Tech,CSE,OTHER,80,0,,,,,,,,,,
355,67,B.Tech,CSE (AI & ML),CSE_AI_ML,80,0,,,,,,,,,,
356,67,B.Tech,Cyber Security,CYBER_SECURITY,80,0,,,,,,,,,,
